date,asset_code,open,high,low,close,volume,turnover,GC001_avg,GC001_close
2024-06-26,511260.SH,128.77,128.869,128.77,128.819,306217877,21.8786,2.139,2.145
2024-06-27,511260.SH,128.809,129,128.809,128.984,261977865,18.6968,2.64,2.24
2024-06-28,511260.SH,129.085,129.142,128.905,129.13,348958164,24.8846,2.445,2.505
2024-07-01,511260.SH,129.151,129.37,128.57,128.72,162248398,11.5742,1.928,1.955
2024-07-02,511260.SH,128.713,128.99,128.5,128.925,585842092,41.8464,1.875,1.88
2024-07-03,511260.SH,128.941,129.077,128.905,129.036,367021458,26.1823,1.849,1.85
2024-07-04,511260.SH,129.05,129.11,128.96,129.09,349818446,24.9455,1.817,1.8
2024-07-05,511260.SH,129.078,129.078,128.77,128.85,363059279,25.9291,1.857,1.87
2024-07-08,511260.SH,128.669,128.669,128.383,128.474,420532966,30.122,1.857,1.86
2024-07-09,511260.SH,128.694,128.793,128.694,128.792,436746920,31.217,1.824,1.795
2024-07-10,511260.SH,128.789,128.85,128.696,128.787,565560912,40.4162,1.767,1.72
2024-07-11,511260.SH,128.828,128.901,128.765,128.872,365855354,26.1298,1.733,1.695
2024-07-12,511260.SH,128.963,129.107,128.874,129.033,330056707,23.5439,1.789,1.8
2024-07-15,511260.SH,129.038,129.18,129.036,129.14,2552100,23.4859,1.851,1.865
2024-07-16,511260.SH,129.112,129.304,128.976,129.113,7799200,71.1184,1.911,1.9
2024-07-17,511260.SH,129.145,129.263,129.145,129.255,2906100,26.0719,1.871,1.835
2024-07-18,511260.SH,129.255,129.267,129.155,129.179,2485100,21.7106,1.843,1.825
2024-07-19,511260.SH,129.228,129.279,129.158,129.209,4916200,42.2118,1.864,1.87
2024-07-22,511260.SH,129.321,129.48,129.3,129.472,2759200,23.6912,1.842,1.84
2024-07-23,511260.SH,129.535,129.729,129.534,129.706,2311000,19.5079,1.855,1.86
2024-07-24,511260.SH,129.799,129.829,129.646,129.819,2924200,24.2743,1.862,1.855
2024-07-25,511260.SH,129.807,129.979,129.788,129.836,2817398,23.0057,1.859,1.855
2024-07-26,511260.SH,129.981,130.045,129.893,130.043,1156700,9.2934,1.891,1.9
2024-07-29,511260.SH,130.045,130.16,130.045,130.139,2825300,22.3229,1.95,1.965
2024-07-30,511260.SH,130.197,130.315,129.855,130.203,2647498,20.6731,2.035,1.995
